12th percentage,cet rank,distance,branch,college
59.1,90038,105,ME,E154
72.3,34156,10,EC,E150
76.7,14750,18,MD,E006
82.5,28771,7,BT,E108
58.3,41931,4,MT,E078
75.1,24034,320,EC,E014
82.5,7842,1000,EC,E016
71.1,5961,18,IE,E107
64.8,176971,149,EE,E081
82.4,22489,14,CE,E044
69.6,188797,16,CE,E096
56.9,88490,19,CS,E221
77,25549,573,CS,E096
71,36907,6,CE,E010
82.4,16021,116,CI,E232
75.4,25021,8,MT,E079
59.1,101694,2,CE,E239
72.3,96276,253,EE,E175
71.4,86279,403,EC,E193
56.8,57098,13,CS,E165
81.5,6075,2,CS,E235
68.7,98399,5,IE,E033
81,2890,97,IE,E012
66.4,74317,524,EE,E149
82.5,5448,356,CS,E099
63.7,30424,11,IE,E049
81.4,1885,89,EE,E008
68.9,106112,20,CS,E159
67.6,143826,940,CE,E130
71.3,270777,630,CE,E180
79.5,17411,905,CS,E029
61.1,52615,392,IM,E082
70.5,22389,625,EC,E114
67.8,38072,819,CS,E216
71.9,73571,665,CS,E095
63.4,234873,494,ME,E239
88,3905,19,BT,E053
67.9,101742,642,CE,E127
82.2,23801,14,AE,E151
57.8,101290,927,EE,E028
78.8,25611,19,BM,E036
82.9,12778,329,CS,E034
76.8,7665,331,IE,E277
62.2,44510,17,EI,E061
65.6,92050,633,CE,E089
69.5,42751,7,CS,E090
81.1,20850,401,CE,E212
72.4,15971,818,ME,E056
72,77145,256,ME,E196
61.7,33872,6,EC,E104
59.9,79979,16,ME,E196
65.7,79967,504,EC,E193
65.8,543040,770,ME,E032
81.4,15445,17,EC,E108
66.2,151682,21,ME,E269
59.3,110676,959,ME,E160
72.5,289310,400,CE,E160
58.4,109068,778,EE,E237
67.9,40315,16,EC,E113
70.2,18524,841,BM,E036
78.9,19980,253,CS,E060
66.4,93264,434,EC,E169
70.9,17101,19,CS,E017
92.2,53,19,CS,E005
59.7,96828,8,EC,E172
83.5,1709,86,CS,E126
70.1,40252,5,CS,E175
59.9,64237,8,EC,E151
71.1,15248,123,ME,E205
72.7,49666,2,CS,E205
80.7,2588,18,CS,E008
79.6,29588,517,CE,E185
57.3,68214,355,EC,E194
62.2,43441,205,EC,E161
81.2,7736,699,EC,E011
73.5,6793,12,IE,E126
86.7,2888,3,EE,E009
72.9,45736,855,CE,E064
79.7,12830,15,CS,E507
84.4,4427,181,MD,E048
59.2,30669,4,CS,E075
56.3,38585,13,AE,E239
87.4,4170,4,CS,E119
57.7,37213,20,EC,E142
72.6,78716,595,CE,E044
69.9,114407,586,EC,E204
78.7,19811,491,CE,E126
85.9,1548,16,EE,E003
66.6,119821,11,ME,E257
72.7,215144,12,EE,E273
59.9,59892,5,EC,E102
56,49819,531,MN,E079
70.1,50375,599,IE,E252
64.1,137622,223,EC,E055
67.4,47843,453,CE,E099
60.3,114070,117,EC,E153
75.5,9477,625,EC,E105
69.2,137731,14,ME,E075
87.6,4367,16,EC,E030
87.2,1729,13,EI,E005
79.3,18759,141,IM,E016
61.4,63079,21,EI,E133
61.4,78822,3,EC,E092
65.1,84280,20,CE,E265
86,1815,4,CS,E126
59.6,133700,18,CE,E264
66.2,83107,679,EC,E232
59.7,89909,341,IP,E047
58.3,79291,287,EC,E090
75.5,26172,16,SE,E186
62.2,120664,694,ME,E213
58.7,48597,10,EC,E182
56.7,69425,19,EE,E199
63.4,30622,11,IP,E061
59.3,111349,494,EC,E257
66.4,34874,14,EC,E017
82,23657,97,TC,E007
69.2,44304,20,CS,E207
67.5,52324,17,CS,E064
73.6,18862,832,BT,E114
59.1,35377,537,ME,E142
65.5,87575,17,EI,E042
64.8,80240,6,CE,E134
77.6,5546,856,ME,E057
72.8,20682,778,AE,E011
70.4,80803,16,CE,E168
89.3,4418,981,IE,E001
81.1,13217,11,EE,E105
73.5,27013,8,ME,E262
63.1,30886,2,CE,E065
71,72042,5,IE,E095
56.9,94409,664,CE,E085
63.9,137153,3,CE,E083
60.4,62644,7,EC,E117
79.9,15725,19,EE,E121
82.9,4858,199,EC,E155
79.1,13413,6,CE,E008
70.3,42421,470,EC,E114
82.7,20913,666,EI,E049
68.1,37230,3,CS,E106
80.4,19345,16,TX,E002
70.5,24254,7,EE,E108
82.8,14400,804,CE,E007
82.5,13900,123,EC,E149
71.3,40116,550,IP,E022
71.3,149477,3,ME,E042
91.6,879,595,CE,E009
65,152860,18,CE,E136
71.1,103598,639,CE,E191
79.6,20754,990,CS,E150
62.2,182923,364,CE,E139
57.7,213204,8,PL,E237
66.9,104733,740,IE,E172
68.9,65495,774,IE,E198
91,2679,571,CS,E005
65.7,31040,515,CS,E013
93.7,819,3,SE,E005
65.4,77293,20,EE,E152
81.9,16395,4,IE,E101
73.3,24489,968,CS,E150
82,18514,17,CS,E083
71.8,39725,10,CE,E065
59.9,198719,177,ME,E014
62.1,53026,13,EC,E168
64.6,97125,11,CE,E145
69.1,36379,839,ST,E002
73.3,9656,9,CS,E002
58.9,39119,610,CT,E007
71.1,96371,5,ME,E085
72.3,19191,7,ME,E158
64.2,67188,9,EC,E194
76.8,21128,17,IE,E212
61.1,62561,19,ME,E121
76.2,29314,8,ME,E041
58.8,85554,978,ME,E144
62.3,147567,807,ME,E269
80.2,3986,7,EC,E016
72,22043,339,EE,E178
77.6,17936,14,MD,E048
63.2,164007,7,EC,E042
71.3,9959,511,CS,E017
59.5,32348,624,EE,E067
62.4,135715,16,ME,E123
61.6,82008,66,IE,E165
70.5,31901,18,TC,E008
71.9,34705,756,EC,E045
63.5,32685,97,EC,E114
69.2,40111,309,IE,E106
68.3,145516,846,CS,E119
70.9,71883,482,CE,E064
75.2,18297,2,IE,E178
60.2,37814,167,CS,E176
72.4,26276,18,CS,E145
59,35394,517,IE,E062
88.5,3615,811,CE,E009
72.3,11033,785,EE,E079
65.8,34366,11,EE,E028
86.5,2688,13,EE,E009
61.7,60158,13,CS,E181
83.3,3781,540,SE,E235
90.4,539,807,SE,E005
64.9,33641,7,ME,E162
81.9,24795,280,ME,E024
81.9,18791,181,PT,E021
88,4524,4,CS,E005
70.9,55210,4,CS,E185
57.5,130760,16,EE,E172
60.5,117724,21,EE,E087
62.8,77025,3,CE,E210
58,138444,4,ME,E273
86.9,1394,20,TC,E005
69.5,90242,9,CC,E237
89.4,2042,13,IE,E099
59,30122,800,EE,E015
78.2,13808,189,EE,E178
76.5,23628,2,CE,E047
80.2,7979,10,EC,E024
61.4,404489,7,CE,E206
89.7,4213,591,CB,E057
57.3,101349,14,EE,E028
70.4,208193,16,EC,E186
62.6,138750,9,CE,E149
72.3,57360,6,CE,E043
57.1,198776,6,EC,E076
58.8,107280,885,EC,E199
71.9,381926,412,EC,E054
82.5,13180,164,EC,E091
77.2,24174,16,EC,E062
65.2,37855,456,ME,E129
82.6,4539,390,EC,E041
57.5,75397,5,CS,E182
65.7,78199,572,ME,E054
74.1,22581,679,CS,E184
65.9,106727,7,BI,E237
83.9,1522,151,BT,E048
71.7,142560,71,EC,E204
81.4,1512,696,CS,E008
88.7,2448,7,EI,E005
79.3,9516,9,IE,E037
68.8,75666,307,EC,E207
81.6,6894,14,IE,E016
66.9,86402,55,EE,E205
60.2,54940,9,CE,E161
71.4,21363,15,EC,E038
70.4,16763,560,BT,E241
81.2,4407,86,CS,E168
75.1,5011,748,CS,E107
67.4,48111,18,CS,E188
58.4,88384,174,CE,E121
80.8,13528,700,CE,E166
75.3,10206,671,CE,E058
82.2,4281,769,CE,E006
77.2,27542,382,ME,E129
57.2,45900,412,CS,E213
89.4,1133,15,SE,E048
64.9,174322,21,ME,E254
66.4,331065,15,ME,E090
72.7,66497,544,ME,E031
80.6,9277,636,EE,E145
74.8,27405,6,CE,E058
67.7,132630,18,ME,E239
65.7,50840,936,IE,E165
69.7,52561,12,BM,E186
70.6,67348,624,CE,E035
72.9,19471,455,EC,E160
78.2,12945,17,IE,E047
57.4,201526,890,EC,E136
86.7,2048,6,CS,E053
62.4,122653,7,ME,E013
70.5,21992,9,CS,E029
71.9,31766,16,ME,E058
66.2,43000,21,CS,E111
71,39366,2,ME,E059
65.9,51148,480,CE,E155
76.7,5478,980,EC,E120
85.6,1430,19,EC,E009
71.4,33687,20,CT,E007
69,131069,10,EE,E165
63.7,127221,6,CE,E055
74.7,27395,115,ME,E060
65.1,191758,774,CS,E136
82.6,15773,7,ME,E024
64.3,37450,4,AU,E023
74.9,19464,753,CS,E175
68.4,51627,762,EE,E059
62.8,51360,842,ME,E071
74,20566,109,ME,E065
71.9,115007,943,CS,E204
71.6,97457,18,ME,E087
63.7,106668,791,EC,E147
69.7,60396,887,EE,E011
60.9,36063,20,CS,E104
76.2,15935,13,CS,E160
79,27110,2,ST,E002
77,23239,682,EE,E041
71.1,53887,349,EC,E111
89.5,3783,598,ME,E278
60.4,74151,2,CE,E163
72.8,17652,606,EE,E067
65.9,108465,815,ME,E199
59.3,107097,10,CE,E096
69.7,51772,428,ME,E142
73,10925,13,CS,E115
64.7,42016,7,CE,E016
72.5,28845,493,IE,E062
67.8,204723,7,CE,E076
78.7,6728,13,CS,E129
61.8,73838,6,EC,E013
65,32454,2,CS,E274
66.1,353610,12,CE,E198
76.9,13389,313,CS,E042
69.5,163047,944,EE,E086
57.7,139072,3,CE,E163
69.4,49637,280,EE,E196
59,65844,4,TX,E032
57.4,40798,552,ME,E157
60.3,197863,791,ME,E172
72,34272,864,CS,E210
70.6,32002,259,EC,E145
59.7,90895,719,BI,E237
62.7,102261,3,CS,E112
72.5,86605,4,IE,E096
68.4,64984,7,IE,E150
70.9,41293,473,AU,E079
57.8,114011,813,CE,E208
70,228882,10,EE,E013
62.6,31782,10,EE,E031
72.8,61014,769,ME,E092
57.6,123677,614,IE,E045
60.4,67865,8,CE,E095
63.1,106331,478,EC,E055
66.3,42134,11,CS,E096
59.3,201994,7,EE,E176
66.2,37590,20,IE,E209
63,105756,18,ME,E045
66.2,162552,673,ME,E145
71.8,14797,7,CS,E101
76.8,14023,21,CS,E060
82.5,9882,264,EE,E022
66,165274,595,ME,E040
62.6,74152,2,EC,E045
62.2,144463,18,EC,E238
59,280167,14,ME,E237
91.1,3963,4,IM,E005
65,133432,474,ME,E504
69.9,168637,18,EE,E203
81.9,19866,381,ME,E065
58.1,163616,296,CE,E210
58.1,37583,18,CE,E017
59.5,35922,7,EE,E196
67.6,46825,669,EC,E102
74.1,19102,664,CS,E017
92.4,235,446,EC,E048
57.6,62116,6,ME,E010
81,16491,21,CS,E034
69.3,99894,7,CS,E139
81.5,28392,222,BI,E237
56.9,90572,15,CE,E132
64.5,96124,304,TX,E032
71.5,7627,17,EE,E007
72.1,37379,254,AE,E144
63.2,86172,9,ME,E273
63.8,171937,970,EC,E054
57.7,40132,6,ME,E166
71.5,63896,510,CS,E153
59.1,203715,20,ME,E238
65,99998,14,EE,E112
62.4,44864,8,EC,E164
62.6,38321,11,EC,E066
68.7,43732,510,ME,E061
58.3,49273,13,EC,E013
64.7,51223,5,ME,E065
59.6,140649,7,ME,E269
58.2,32928,2,EI,E062
59.5,44986,186,EC,E018
57.9,107627,584,EE,E013
77.8,29214,63,CE,E059
66.3,85680,12,ME,E210
80.4,18280,818,CS,E100
71.3,15735,881,CS,E036
69.4,92529,16,CE,E093
67.5,75635,16,ME,E078
71.9,209640,7,CE,E197
76.9,7888,8,CS,E082
69.2,56986,16,CR,E059
62.9,44875,278,CS,E186
72,47897,463,CS,E186
60.9,175883,803,EE,E237
65.8,240823,255,ME,E040
63.7,33330,766,CE,E092
61.9,60785,3,EC,E028
56.6,116509,329,ME,E067
90.7,1113,476,IE,E012
65.7,78250,6,EC,E169
70.4,23618,19,CE,E041
76,8247,508,EC,E150
68.6,156429,478,ME,E067
73.3,28462,259,CS,E134
80.1,21719,7,EE,E235
60.9,60176,13,CE,E103
58.1,161848,7,IE,E043
70.8,209658,243,ME,E152
61.8,107552,4,CE,E255
66.1,142178,10,CE,E152
72.6,77330,293,CE,E149
82.9,26482,886,CS,E098
56.8,48117,190,EC,E202
62.4,66360,14,CS,E171
74.9,22638,821,EE,E058
62,102024,10,EC,E199
71.5,113349,14,ME,E075
75.4,6289,827,EC,E126
69.9,45790,800,EE,E059
66.3,30110,811,BT,E114
57.7,139420,9,ES,E237
70.4,36405,9,CE,E079
74.7,27497,14,CE,E126
61.3,87850,659,EC,E127
60.3,303800,502,EI,E059
65.8,54556,7,CS,E185
88.1,2204,323,AE,E007
83,4641,322,EE,E126
91.6,1050,6,BT,E005
71.8,85519,17,CS,E180
70.6,32543,107,EC,E129
76.3,11612,3,EC,E507
92.4,240,4,EE,E005
63.4,94603,799,ME,E076
68.8,130594,69,ME,E210
63.9,221823,388,CE,E013
69.3,91902,9,EE,E139
59.8,109021,19,EE,E087
59.8,43088,707,IE,E106
79.7,29866,413,EE,E015
76.8,12702,21,EI,E016
56.9,105735,2,IE,E177
63.1,41645,17,CS,E090
65.1,82293,856,EC,E269
74.4,18022,19,EC,E053
67.4,46276,408,CH,E044
67.3,63899,177,MT,E151
60.1,47684,16,CS,E152
71.6,60616,627,EC,E132
85.1,1254,5,IE,E008
71.7,10901,968,CE,E005
65.1,179938,11,CE,E206
84.2,4329,19,AE,E007
62.3,45281,469,EC,E147
64.7,46069,872,CS,E032
68.5,50196,452,EI,E061
82.9,18760,643,TC,E016
71.3,15867,944,ME,E022
62.8,31833,410,CE,E010
70.2,48052,14,CE,E212
74.9,13295,650,EE,E061
58.9,56557,820,CS,E193
64.7,118583,12,IE,E146
62.1,204402,174,AU,E032
59.6,47485,193,EC,E154
66.2,149286,14,CE,E139
72.7,68879,8,CE,E032
62.7,125661,16,CE,E172
57.8,50577,199,EC,E087
63.3,56026,438,EE,E274
85.4,2501,4,CS,E510
71.3,31070,349,CS,E255
56.2,49078,16,ME,E065
67.1,125123,330,CS,E130
61.1,69161,3,ME,E079
63.5,83280,13,EC,E136
73.3,20581,17,CS,E103
79.6,10929,4,EI,E006
82.1,26736,18,EC,E062
62.4,63086,19,CE,E015
78.2,21773,3,EC,E041
63.1,43369,104,EC,E166
82.4,8306,652,EC,E024
78.9,12895,3,ME,E241
77.6,19468,19,EC,E036
56.9,94566,359,ME,E147
64.4,136773,10,ME,E168
78.6,9599,20,AE,E042
76.4,18024,637,EE,E105
78.2,29962,135,CS,E227
71.5,57972,15,CE,E095
70.6,18810,10,EC,E097
58.2,37204,579,CS,E227
72,41639,758,ME,E036
72.5,19068,453,EC,E078
70.8,40951,5,BT,E108
69.7,32983,10,IE,E065
69.9,97052,679,CS,E154
71.9,8308,5,IM,E003
72.7,17040,75,ME,E107
71.1,38924,698,TC,E065
73,26185,726,TC,E008
79.2,5055,9,CH,E006
56.5,88091,479,EC,E130
76.3,10913,175,CS,E115
62.3,48754,21,ME,E078
59,96857,13,CE,E257
79.3,11213,359,IE,E083
66.1,108898,537,MR,E144
69.8,71299,3,IP,E041
64.6,126525,368,CE,E227
72.7,151867,566,ME,E046
79.8,20591,12,CS,E087
70.8,14180,18,EE,E007
56.6,42799,20,ME,E178
71.5,28172,772,IE,E151
56.2,83570,17,EC,E173
60.8,81400,658,CS,E154
66.3,79815,134,ME,E150
71.2,149055,18,CE,E139
68.8,126523,21,ME,E062
76.1,11178,5,CS,E060
71.4,139237,6,TC,E017
56.7,62037,10,ME,E014
67.4,55405,119,ME,E079
68.5,60403,12,IE,E169
64.1,172054,664,EC,E264
56.7,73122,17,ME,E265
65.9,54883,336,EE,E033
58.7,31086,21,EC,E156
70.2,20106,21,CS,E133
71.4,129575,18,ME,E111
59.8,69055,124,CE,E164
65.2,62419,13,CE,E043
61,136043,9,PL,E237
58.6,51496,20,IE,E038
82.6,5463,55,CS,E071
57.5,54977,70,CS,E273
68.7,79841,20,CE,E045
75.6,9429,507,CE,E023
60.9,49628,5,EE,E102
80,6914,892,CE,E005
77.7,16163,102,EE,E058
72.8,26092,247,EC,E158
87.2,4416,108,EC,E107
81.5,14202,580,BM,E042
58.8,69232,797,EC,E272
79.6,21516,4,CS,E029
63.6,71651,6,ME,E096
78.3,9869,255,EE,E071
93.4,529,579,CS,E007
83.5,3834,18,ME,E009
81.3,4070,10,CE,E048
59.4,91780,539,ME,E185
68.8,32587,7,CS,E042
72.1,38414,16,EC,E010
71.7,23169,20,EC,E160
88.7,1049,18,IE,E006
74,9739,275,EC,E507
66.5,38794,405,ME,E178
86.5,2653,10,EE,E008
74.2,9214,16,CS,E097
75.3,23588,21,EC,E108
58,132643,738,ME,E127
61.1,259311,509,ME,E257
66.6,39087,622,CS,E203
61.9,79319,8,EC,E132
62.2,68857,703,CE,E147
60.4,32225,838,IM,E008
67.6,152635,843,ME,E083
93.1,250,14,EC,E005
62.1,127925,810,CS,E136
75,20920,5,CS,E134
66.2,37153,583,IP,E045
66.2,185851,463,EI,E133
70.9,25833,947,EC,E160
66.5,101696,673,ME,E146
75.1,28412,381,CH,E011
91.2,4979,13,EC,E008
56.2,73424,857,EC,E055
60.7,80298,290,EC,E043
58.4,45661,597,BT,E062
64.6,94299,3,CE,E064
68.7,64195,16,EC,E090
79.9,22679,691,IE,E150
70.4,44003,406,ME,E011
69,46761,191,CS,E121
66.1,225356,340,ME,E067
78.5,12171,11,CS,E065
73.1,18967,928,CS,E092
96.4,558,699,IE,E048
60.1,188371,809,EC,E194
62.2,111875,221,CE,E121
74,23874,156,CE,E031
84.5,1167,57,CS,E021
68.2,35164,546,CS,E049
71.7,106618,199,EC,E193
61.4,151791,19,ME,E044
61,48414,832,EC,E111
78.8,9951,16,IM,E003
64.7,48022,332,EC,E182
70.7,44444,3,CS,E273
76.7,10694,202,ME,E057
65,47244,7,IE,E173
57.6,108178,310,IE,E112
69.4,44242,19,CS,E096
56.6,71148,601,CE,E035
77.9,22057,479,CE,E036
67.9,150508,12,IE,E146
71.7,169389,500,EC,E175
59.2,36430,11,IE,E049
71.1,5147,635,EC,E120
61.8,35180,189,CE,E103
59.1,41450,20,IE,E017
93.7,987,11,EC,E048
60.9,38655,14,IE,E102
58.3,68730,509,CS,E181
65.9,53751,7,EE,E149
56.5,220272,316,EC,E210
64.6,40646,980,CS,E169
77.8,28844,418,CE,E022
72.4,48894,15,ME,E151
71.1,33751,16,CS,E092
59.6,44191,21,EC,E264
59,57944,62,CS,E174
75.6,10454,13,ME,E030
71.3,143458,105,CE,E120
68.8,74988,8,ME,E272
67.5,33772,154,CS,E203
65.3,34574,5,IE,E038
63.8,68421,331,EC,E227
76.1,28277,491,CS,E101
56.1,32502,12,CS,E269
91.6,4586,430,CS,E065
64,39598,593,IE,E254
61.3,171212,14,EC,E139
60.6,96820,5,CE,E117
71.6,16538,484,CE,E168
73.6,6212,11,EC,E141
83.6,4725,517,TC,E048
78.8,7805,776,IP,E021
57.3,30815,851,EE,E145
68.7,50750,4,EE,E272
58.4,63975,20,CE,E018
60.4,91857,186,CE,E183
72.2,39589,353,EE,E033
81.8,16364,376,IP,E023
67.3,297143,979,ME,E040
80.4,20815,14,EC,E160
70.9,131850,514,EC,E264
67.7,114335,523,CE,E189
69.2,45793,619,CE,E015
60.3,133977,3,EE,E197
93.6,175,482,CS,E048
58.7,84689,851,ME,E100
67.2,60769,7,EC,E083
81.4,10062,274,EC,E024
66,68818,418,MD,E017
71.9,68843,351,CS,E255
79.1,14333,238,CS,E135
86.2,4932,755,CE,E058
56.2,94633,5,EE,E173
60.5,30213,239,MT,E078
72.4,61230,10,ME,E103
60.6,37047,18,CE,E033
81.6,26129,899,CS,E014
80.5,10871,662,IE,E058
68.4,77991,624,EC,E065
66.1,46607,163,CS,E013
73.6,10268,12,EE,E007
57.2,77927,261,EC,E180
67.5,46066,967,EC,E255
69.5,44675,728,ME,E232
59.4,46536,784,BT,E055
79.5,12369,368,IE,E099
57.6,111483,788,IE,E087
59.1,36127,11,ME,E071
69.7,158750,170,ME,E145
72.1,16376,125,CS,E142
66.9,164446,20,ME,E151
82.6,9589,792,CE,E023
72.6,11159,713,ME,E166
82.1,16350,683,ME,E037
59.2,57763,490,CS,E159
61,44297,983,EC,E066
63,56399,713,IE,E142
69.6,91355,2,EC,E043
69.1,31770,586,TC,E008
70,30033,546,CS,E038
71,132034,5,ME,E092
82.3,24796,16,MT,E232
79.4,13659,15,IE,E037
76.9,20767,290,BT,E049
70.9,28810,857,CS,E109
79.1,26492,793,EC,E196
65.6,97035,866,EC,E173
81.1,4648,5,CS,E241
66.4,45593,561,EE,E115
67.8,37031,920,CE,E063
77.1,13274,2,IE,E058
73.2,18832,128,IM,E003
61,46012,12,EC,E265
90.3,4887,13,EE,E001
74.5,16788,19,BM,E042
58.6,324176,74,CE,E182
68.1,30090,12,AE,E186
65.2,57048,676,BM,E186
76.1,8214,12,EE,E036
69.3,32576,10,CS,E128
70,100209,5,ME,E144
64,104492,4,CS,E081
66,52647,651,EE,E112
73.9,17961,4,CS,E083
71.8,25793,20,CT,E057
62.8,36361,964,ME,E095
57.9,78255,819,ME,E061
60.1,32151,77,CE,E272
63.6,52785,7,EE,E149
80,25263,5,CS,E098
62.8,86497,947,ME,E189
67.1,66387,471,ME,E207
70.8,40419,200,EE,E178
80,11732,66,IE,E097
68.3,33274,335,IE,E113
57.2,35589,19,CE,E017
64.9,38825,14,IM,E009
59.5,78227,936,CE,E189
65.8,37712,5,CE,E061
72.2,15656,2,IE,E123
63.2,153627,21,CE,E100
65.4,54030,17,CE,E102
56.6,107972,17,ME,E146
59,269584,4,ME,E238
71.6,79681,338,CE,E150
68.8,36657,12,ME,E087
58.7,36201,20,IE,E068
70.8,11186,12,CH,E048
59.2,34710,344,CS,E162
81.1,6513,445,CS,E082
62.7,92919,696,CE,E191
72.9,16810,895,ME,E235
60.8,165294,569,CE,E083
67,98552,3,EC,E093
80.1,16525,16,AU,E023
65.4,40088,812,EE,E196
69,97469,10,CE,E252
59.2,44245,6,ME,E181
72.2,62590,748,AT,E235
68.1,41678,404,CE,E098
73,11798,11,EE,E056
73.9,23440,355,ME,E071
66.8,80367,3,ME,E128
62.3,83441,340,EE,E095
88.6,4009,17,EC,E031
74,7376,20,IE,E123
59.1,96067,78,EC,E206
82.7,29348,2,ME,E108
64.5,117419,2,CE,E204
86.1,3143,545,EC,E022
69.2,59908,6,ME,E085
62.1,224594,513,ME,E239
58.3,67283,770,ME,E108
70.8,93641,684,EC,E123
56.8,35137,2,CE,E155
65.5,43477,4,CE,E092
78.8,22015,15,AE,E011
80,14195,189,EC,E086
82.6,24704,10,CS,E203
79.1,9213,5,CS,E105
71.4,6512,7,EI,E021
57.5,65436,12,ME,E102
73.2,23301,890,EE,E047
72.4,22268,2,IE,E160
68.2,119795,908,ME,E134
71.9,8925,355,CE,E071
72.1,32174,745,CE,E172
80.7,26357,10,CS,E209
